name,repo_url,repo_canonical,accepted_date,accepted_year,raw_tags,source_record_url
Boost.Decimal: A C++14 Library for Decimal Floating Point Arithmetic,https://github.com/boostorg/decimal,github.com/boostorg/decimal,2026-08-12,2026,C++,https://doi.org/10.21105/joss.10345
RGTFun: An Open-Source MATLAB App for Rarefied Gas Transport Coefficient Calculations,https://github.com/nbb2/rgtfun,github.com/nbb2/rgtfun,2026-08-11,2026,,https://doi.org/10.21105/joss.09948
Flexible Metadata Annotation for Agent-based Energy System Models,https://gitlab.com/fame-framework/fame-io,gitlab.com/fame-framework/fame-io,2026-08-11,2026,agent-based;energy system;metadata;workflow;fame,https://doi.org/10.21105/joss.09541
"pyaudi: A truncated Taylor polynomial algebra toolbox for differentiable intelligence, automatic differentiation, and verified integration applications.",https://github.com/darioizzo/audi,github.com/darioizzo/audi,2026-08-10,2026,differentiable intelligence;automatic differentiation;verified integration,https://doi.org/10.21105/joss.09905
NILT: Numerical Inverse Laplace Transform Methods,https://github.com/roliveira/nilt,github.com/roliveira/nilt,2026-08-10,2026,python;c++;laplace transform;numerical methods;groundwater;transport,https://doi.org/10.21105/joss.10605
Peroxide: A Batteries-Included Numerical Computing Library for Rust,https://github.com/Axect/Peroxide,github.com/axect/peroxide,2026-08-10,2026,numerical computing;automatic differentiation;ordinary differential equations;scientific computing;spline interpolation,https://doi.org/10.21105/joss.10366
DynDom1D_Python: An Open-Source Python tool for the analysis of domain movements in proteins,https://github.com/steven-hayward/DynDom1D_Python,github.com/steven-hayward/dyndom1d_python,2026-08-07,2026,protein;dynamics;hinge-bending;hinge-axis,https://doi.org/10.21105/joss.09938
gimap: An R Package for Genetic Interaction Mapping in Dual-Target CRISPR Screens,https://github.com/FredHutch/gimap,github.com/fredhutch/gimap,2026-08-06,2026,CRISPR;genetic interactions;paralogs;synthetic lethality;bioinformatics,https://doi.org/10.21105/joss.09891
estim8 - An FMI-compliant Python toolbox for bioprocess modeling and parameter estimation,https://github.com/JuBiotech/estim8,github.com/jubiotech/estim8,2026-08-06,2026,Functional Mock-up Units;Functional Mock-up Interface;Bioprocess modeling;Parameter estimation;Uncertainty quantification,https://doi.org/10.21105/joss.10147
AMReX-Astrophysics Microphysics: A set of microphysics routines for astrophysical simulation codes based on the AMReX library,https://github.com/amrex-astro/Microphysics,github.com/amrex-astro/microphysics,2026-08-05,2026,nuclear;reactions;astrophysics;physics;integration;differential equations,https://doi.org/10.21105/joss.10422
cxreg: An R package for complex-valued lasso and graphical lasso,https://github.com/yk748/cxreg,github.com/yk748/cxreg,2026-08-03,2026,Spectral analysis;Regularization path;Coordinate descent;Lasso;Graphical model,https://doi.org/10.21105/joss.09698
bde: A Python Package for Bayesian Deep Ensembles via MILE,https://github.com/scikit-learn-contrib/bde,github.com/scikit-learn-contrib/bde,2026-08-03,2026,machine learning;MCMC;Bayesian deep learning;uncertainty quantification,https://doi.org/10.21105/joss.10653
"ConVer-G: A Suite for Versioning, Querying and Visualization of Dynamic Knowledge Graphs",https://github.com/VCityTeam/ConVer-G,github.com/vcityteam/conver-g,2026-08-01,2026,Javascript;RDF;SPARQL;semantic web;knowledge graphs,https://doi.org/10.21105/joss.10828
Raptor: A Python Library for Porosity Predictions in Additive Manufacturing,https://github.com/ORNL-MDF/Raptor/,github.com/ornl-mdf/raptor,2026-07-31,2026,Python;Additive Manufacturing,https://doi.org/10.21105/joss.09874
Jaxion: A JAX package for Fuzzy Dark Matter,https://github.com/JaxionProject/jaxion,github.com/jaxionproject/jaxion,2026-07-30,2026,JAX;astronomy;cosmology;dark matter,https://doi.org/10.21105/joss.09542
healthiar: An R package to quantify and monetize health impacts attributable to (environmental) exposure,https://github.com/SwissTPH/healthiar,github.com/swisstph/healthiar,2026-07-29,2026,Health impact quantification;Burden of disease;Health risk assessment;Attributable health impacts;Monetization;Environmental exposures;Air pollution;Noise,https://doi.org/10.21105/joss.10599
MetaCommunityMetrics.jl: A Julia Package for Spatiotemporal Metacommunity Analysis,https://github.com/cralibe/MetaCommunityMetrics.jl,github.com/cralibe/metacommunitymetrics.jl,2026-07-29,2026,community ecology;metacommunity;summary statistics;spatial and temporal dynamics,https://doi.org/10.21105/joss.10167
LowLevelFEM.jl: A lightweight finite element toolbox in Julia,https://github.com/perebalazs/LowLevelFEM.jl,github.com/perebalazs/lowlevelfem.jl,2026-07-28,2026,finite element method;structural mechanics;continuum mechanics;open source,https://doi.org/10.21105/joss.10096
priorsense: Efficient prior and likelihood sensitivity checks for Bayesian models in R,https://github.com/n-kall/priorsense,github.com/n-kall/priorsense,2026-07-28,2026,Bayesian inference;Sensitivity analysis;Diagnostics,https://doi.org/10.21105/joss.11036
deadleaves: Creating cluttered visual stimuli in Python,https://github.com/ag-perception-wallis-lab/deadleaves,github.com/ag-perception-wallis-lab/deadleaves,2026-07-28,2026,Python package;vision science;stimulus creation,https://doi.org/10.21105/joss.10531
"Mighty: A Comprehensive Tool for Studying Generalization, Meta-RL and AutoRL",https://github.com/automl/Mighty/,github.com/automl/mighty,2026-07-28,2026,reinforcement learning;contextual reinforcement learning;meta-learning;generalization;automated machine learning,https://doi.org/10.21105/joss.10439
AlgebraOfGraphics.jl: A Makie-powered algebraic grammar of graphics for Julia,https://github.com/MakieOrg/AlgebraOfGraphics.jl,github.com/makieorg/algebraofgraphics.jl,2026-07-27,2026,visualization;grammar of graphics;data analysis;statistical graphics;Makie,https://doi.org/10.21105/joss.10894
pwranova: An R package for power analysis of flexible ANOVA designs and related tests,https://github.com/mutopsy/pwranova,github.com/mutopsy/pwranova,2026-07-25,2026,,https://doi.org/10.21105/joss.10123
Litrepl: Literate Paper Processor Promoting Transparency More Than Reproducibility,https://github.com/sergei-mironov/litrepl,github.com/sergei-mironov/litrepl,2026-07-24,2026,python;literate programming;human computer interaction;reproducible research,https://doi.org/10.21105/joss.08384
Fortitude: The Fortran Linter,https://github.com/PlasmaFAIR/fortitude,github.com/plasmafair/fortitude,2026-07-22,2026,static analysis;linting;linter;tool;tools;tooling,https://doi.org/10.21105/joss.10570
open_nipals: An sklearn-compatible Python package for NIPALS dimensionality reduction,https://github.com/johnsonandjohnson/open_nipals,github.com/johnsonandjohnson/open_nipals,2026-07-22,2026,multivariate analysis;machine learning;dimensionality reduction;principal component analysis;partial least squares regression,https://doi.org/10.21105/joss.08598
DL_PY2F: A library for Python-Fortran interoperability,https://github.com/stfc/dl_py2f,github.com/stfc/dl_py2f,2026-07-21,2026,Fortran;interoperability,https://doi.org/10.21105/joss.08992
hughes2d: Approximating solutions to the Hughes pedestrian-flow model,https://github.com/TheoRGirard/hughes2d,github.com/theorgirard/hughes2d,2026-07-20,2026,non-linear discontinuous PDE;pedestrian evacuation;macroscopic crowd dynamics;finite volume scheme;fast marching method,https://doi.org/10.21105/joss.10106
solana-pqzk-fullchain: Full on-chain verification of ZK-STARK proofs and post-quantum signatures on Solana,https://github.com/pqzk-labs/solana-pqzk-fullchain,github.com/pqzk-labs/solana-pqzk-fullchain,2026-07-18,2026,Solana;zero-knowledge proofs;STARK;post-quantum cryptography;SLH-DSA (SPHINCS+);ML-KEM (Kyber),https://doi.org/10.21105/joss.09923
mcdust: A 2D Monte Carlo code for dust coagulation in protoplanetary disks,https://github.com/vicky1997/mcdust,github.com/vicky1997/mcdust,2026-07-14,2026,dust evolution;protoplanetary disks;Fortran;planet formation,https://doi.org/10.21105/joss.10140
Uno: a composable framework for nonlinearly constrained optimization,https://github.com/cvanaret/Uno,github.com/cvanaret/uno,2026-07-14,2026,nonlinear programming;constrained optimization;sequential quadratic programming;interior-point methods;Lagrange-Newton methods;optimization frameworks;scientific computing;Julia;Python,https://doi.org/10.21105/joss.10229
pyROX: Rapid Opacity X-sections,https://github.com/samderegt/pyROX,github.com/samderegt/pyrox,2026-07-13,2026,astronomy;exoplanets;planets;brown dwarfs;stars;atmospheres;opacities;cross sections;spectroscopy,https://doi.org/10.21105/joss.10081
Gw-detect-power: A Python Package to Predict the Detectability of Land Management Changes on Freshwater Contaminants Despite Lag.,https://github.com/Komanawa/komanawa-gw-detect-power,github.com/komanawa/komanawa-gw-detect-power,2026-07-09,2026,monitoring;water quality;groundwater;lag,https://doi.org/10.21105/joss.09390
PLAID: Physics-Learning AI Datamodel,https://github.com/PLAID-lib/plaid,github.com/plaid-lib/plaid,2026-07-07,2026,python;scientific machine learning;data model;physics simulation,https://doi.org/10.21105/joss.08830
MooBench: A micro-benchmark for performance overhead measurement of observability tools,https://github.com/kieker-monitoring/moobench,github.com/kieker-monitoring/moobench,2026-07-07,2026,Java;...,https://doi.org/10.21105/joss.10400
PSD: Parallel Finite Element Solver for Continuum Dynamics,https://github.com/mohd-afeef-badri/psd,github.com/mohd-afeef-badri/psd,2026-07-06,2026,finite elements;parallel computing;earthquake simulation;fracture mechanics;HPC,https://doi.org/10.21105/joss.09411
SlicerNNInteractive: A 3D Slicer extension for nnInteractive,https://github.com/coendevente/SlicerNNInteractive,github.com/coendevente/slicernninteractive,2026-07-06,2026,Slicer;nnInteractive;Efficient annotation,https://doi.org/10.21105/joss.09003
OpenReservoirComputing: GPU-Accelerated Reservoir Computing in JAX,https://github.com/Jan-Williams/OpenReservoirComputing,github.com/jan-williams/openreservoircomputing,2026-07-06,2026,JAX;reservoir computing;echo state networks;time-series forecasting;chaotic systems,https://doi.org/10.21105/joss.10486
Sparsity-preserving gradient utility tools for PyTorch,https://github.com/cai4cai/torchsparsegradutils,github.com/cai4cai/torchsparsegradutils,2026-07-06,2026,PyTorch;sparse tensors;machine learning;deep learning,https://doi.org/10.21105/joss.10072
pyhctsa: A Python package for highly comparative time-series analysis,https://github.com/DynamicsAndNeuralSystems/pyhctsa,github.com/dynamicsandneuralsystems/pyhctsa,2026-07-06,2026,feature extraction;dynamics;time-series feature extraction;highly comparative,https://doi.org/10.21105/joss.10581
faer: A linear algebra library for the Rust programming language,https://codeberg.org/sarah-quinones/faer/,codeberg.org/sarah-quinones/faer,2026-07-01,2026,linear algebra;math,https://doi.org/10.21105/joss.06099
Athlytics: A Reproducible Framework for Endurance Data Analysis,https://github.com/HzaCode/Athlytics,github.com/hzacode/athlytics,2026-07-01,2026,sports science;endurance;Strava;cohort analysis;reproducibility;ACWR;cardiovascular decoupling,https://doi.org/10.21105/joss.09075
Control Strainer (ConStrain): a data-driven control verification framework,https://github.com/pnnl/ConStrain,github.com/pnnl/constrain,2026-06-30,2026,python;energy;building;control;simulation;hvac,https://doi.org/10.21105/joss.08083
PyTupli: Enabling Collaboration in Offline Reinforcement Learning,https://github.com/TUMcps/pytupli/,github.com/tumcps/pytupli,2026-06-29,2026,offline reinforcement learning;collaboration;datasets;infrastructure,https://doi.org/10.21105/joss.10144
PyOTC: A Python Package for Optimal Transition Coupling,https://github.com/pyotc/pyotc,github.com/pyotc/pyotc,2026-06-27,2026,Optimal Transport;Probability,https://doi.org/10.21105/joss.10576
InfDB: An Open Source Energy and Infrastructure Data Ecosystem for Modeling and Planning,https://github.com/tum-ens/InfDB,github.com/tum-ens/infdb,2026-06-26,2026,Docker;Open Data;Data Science,https://doi.org/10.21105/joss.10458
"PointCloudCrafter: Tools for Handling, Manipulating and Analyzing of Point Clouds",https://github.com/TUMFTM/PointCloudCrafter,github.com/tumftm/pointcloudcrafter,2026-06-26,2026,point cloud;ROS2;PCL,https://doi.org/10.21105/joss.10459
ProntoPCR: Efficient qPCR Data Analysis Software,https://github.com/MarnieMaddock/ProntoPCR,github.com/marniemaddock/prontopcr,2026-06-25,2026,R Shiny;qPCR;Polymerase chain reaction,https://doi.org/10.21105/joss.09949
kooplearn: A scikit-learn compatible library of algorithms for evolution operator learning,https://github.com/Machine-Learning-Dynamical-Systems/kooplearn,github.com/machine-learning-dynamical-systems/kooplearn,2026-06-25,2026,dynamical systems;evolution operator;koopman operator;transfer operator;operator learning;machine learning;representation learning,https://doi.org/10.21105/joss.10342
BordAX: A High-Performance JAX Framework for Programmatic Reinforcement Learning,https://github.com/SynthesisLab/bordax,github.com/synthesislab/bordax,2026-06-25,2026,JAX;reinforcement learning;programmatic policies;decision trees;interpretable machine learning,https://doi.org/10.21105/joss.10470
