name,repo_url,repo_canonical,accepted_date,accepted_year,raw_tags,source_record_url
solar-wavelength-calibration,https://bitbucket.org/dkistdc/solar-wavelength-calibration,bitbucket.org/dkistdc/solar-wavelength-calibration,2026-07-21,2026,data-processing-munging;Library for computing absolute wavelength calibration of Solar spectra.,https://github.com/pyOpenSci/software-submission/issues/283
pyhctsa,https://github.com/DynamicsAndNeuralSystems/pyhctsa,github.com/dynamicsandneuralsystems/pyhctsa,2026-07-09,2026,data-extraction;workflow-automation;scientific-software-wrapper;Python package for highly comparative time-series analysis,https://github.com/pyOpenSci/software-submission/issues/282
nsEVDx,https://github.com/Nischalcs50/nsEVDx,github.com/nischalcs50/nsevdx,2026-7-3,2026,data-processing-munging;scientific-software-wrapper;This package implements both bayesian sampling techniques and frequentist methods to estimate the parameters of non-stationary extreme value distributions,https://github.com/pyOpenSci/software-submission/issues/265
lintquarto,https://github.com/lintquarto/lintquarto,github.com/lintquarto/lintquarto,2026-06-09,2026,"data-validation-testing;Package for running linters, static type checkers and code analysis tools on python code in quarto (.qmd) files.",https://github.com/pyOpenSci/software-submission/issues/257
ChemInformant,https://github.com/HzaCode/ChemInformant,github.com/hzacode/cheminformant,2025-09-29,2025,"data-retrieval;data-extraction;data-processing-munging;data-validation-testing;workflow-automation;scientific-software-wrapper;database-interoperability;A robust, high-throughput Python client for retrieving chemical information from the PubChem API; it returns analysis-ready Pandas/SQL outputs, handles caching, rate-limiting and retries, and includes convenient CLI tools.",https://github.com/pyOpenSci/software-submission/issues/254
astropy,https://github.com/astropy/astropy,github.com/astropy/astropy,2025-12-17,2025,data-retrieval;data-extraction;data-processing-munging;data-visualization;scientific-software-wrapper;A Community Python Library for Astronomy,https://github.com/pyOpenSci/software-submission/issues/251
Pyinterpolate,https://github.com/DataverseLabs/pyinterpolate,github.com/dataverselabs/pyinterpolate,2025-12-3,2025,data-processing-munging;Spatial interpolation: Kriging and Variogram Analysis toolset,https://github.com/pyOpenSci/software-submission/issues/250
MILESpy,https://github.com/miles-iac/milespy,github.com/miles-iac/milespy,2026-07-21,2026,data-retrieval;data-processing-munging;Python wrapper for the MILES stellar library and Single Stellar Population models,https://github.com/pyOpenSci/software-submission/issues/247
swiftgalaxy,https://github.com/SWIFTSIM/swiftgalaxy,github.com/swiftsim/swiftgalaxy,2025-10-17,2025,"data-extraction;data-processing-munging;Load in particles of a simulated galaxy, rotate coordinates, easy spherical/cylindrical coordinates, access integrated properties, and more.",https://github.com/pyOpenSci/software-submission/issues/244
PyAutoGalaxy,https://github.com/Jammy2211/PyAutoGalaxy,github.com/jammy2211/pyautogalaxy,2026-05-04,2026,data-processing-munging;scientific-software-wrapper;Astronomy software for analysing the morphologies and structures of galaxies,https://github.com/pyOpenSci/software-submission/issues/235
C4dynamics,https://github.com/C4dynamics/C4dynamics,github.com/c4dynamics/c4dynamics,2026-05-19,2026,data-processing-munging;Python framework for algorithms of dynamic systems,https://github.com/pyOpenSci/software-submission/issues/234
