repo_canonical,repo_found,cff,codemeta,zenodo_json,readme_citation,doi_record,registry,pypi_package_detected,npm_package_detected
github.com/ehtjulia/scatteringoptics.jl,1,0,0,0,0,0,0,,
github.com/snirmeiri/lcoi_local_crystalline_orientation_identifier,1,0,0,0,1,1,0,,
github.com/ropensci/weathercan,1,0,1,0,1,0,0,,
github.com/dartsim/dart,1,1,0,0,1,1,0,,
github.com/pyvista/pyvista,1,1,0,0,1,1,1,pyvista,
github.com/mad-lab-fau/biopsykit,1,1,0,0,1,1,1,biopsykit,
github.com/nasa/condor,1,0,0,0,0,0,1,condor,
github.com/frederiklizakjohansen/debyecalculator,1,1,0,0,0,1,1,debyecalculator,
github.com/jboynyc/textnets,1,1,0,0,0,1,1,textnets,
github.com/hegghammer/dair,1,0,0,0,1,1,0,,
github.com/nichollsh/agni,1,1,1,1,1,1,0,,
github.com/msmbuilder/mdentropy,1,0,0,0,1,1,0,,
github.com/cwru-sdle/geospatialsuite,1,1,0,0,1,0,0,,
github.com/boostorg/geometry,1,1,0,0,0,1,0,,
github.com/fieldtrip/fieldtrip,1,1,0,0,0,1,0,,
github.com/scionresearch/genomesizer,1,1,0,0,1,1,0,,
github.com/corybrunson/ggalluvial,1,0,0,0,0,0,0,,
github.com/cblearn/cblearn,1,0,0,0,1,1,0,,
github.com/sebastien-plutniak/archeofrag,1,0,0,0,0,0,0,,
github.com/astorfi/speechpy,1,0,0,0,0,0,1,speechpy,
github.com/garrettj403/qmix,1,0,0,0,0,0,1,qmix,
github.com/smtg-ucl/surfaxe,1,0,0,0,1,1,0,,
github.com/geodels/escape/tree/master/joss,0,0,0,0,0,0,0,,
github.com/erlingdevold/echoflow,1,1,0,0,0,1,0,,
github.com/q1cui/discoursegt,1,0,0,0,0,0,0,,
github.com/ropensci/tacmagic,1,0,1,0,1,1,0,,
github.com/blind-contours/cvtreemle,1,0,0,0,1,1,0,,
github.com/niess/calzone,1,0,0,0,0,0,1,calzone,
github.com/mortonne/psifr,1,0,0,1,1,1,0,,
github.com/elabftw/elabftw,1,1,1,0,0,1,0,,
github.com/kyleaoman/martini,1,1,1,0,0,1,0,,
github.com/hzacode/cheminformant,1,1,0,1,1,1,1,ChemInformant,
github.com/earthlab/earthpy,1,0,0,1,1,1,1,earthpy,
github.com/idaholab/montepy,1,1,0,0,1,1,1,montepy,
github.com/neonscience/neon-utilities-python,1,1,0,0,0,1,0,,
github.com/nischalcs50/nsevdx,1,1,0,0,1,1,1,nsEVDx,
github.com/sunpy/sunpy,1,1,0,1,0,1,1,sunpy,
github.com/plenoptic-org/plenoptic,1,1,0,0,1,1,1,plenoptic,
github.com/petrofit/petrofit,1,0,0,0,0,0,1,petrofit,
github.com/morganjwilliams/pyrolite,1,1,0,0,1,1,1,pyrolite,
github.com/genericmappingtools/pygmt,1,1,0,0,0,1,1,pygmt,
github.com/raphaelquast/eomaps,1,0,0,1,0,0,1,eomaps,
github.com/mctavishlab/physcraper,1,0,0,0,0,0,1,Physcraper,
github.com/unionai-oss/pandera,1,0,0,0,0,0,0,,
github.com/geminidrsoftware/astrodata,1,0,0,0,0,0,1,astrodata,
github.com/ouranosinc/xclim,1,1,0,1,0,1,1,xclim,
github.com/adtzlr/felupe,1,1,0,0,0,1,1,felupe,
github.com/sourmash-bio/sourmash,1,1,1,1,0,1,1,sourmash,sourmash
github.com/teddygroves/bibat,1,0,0,0,1,1,1,bibat,
github.com/jammy2211/pyautogalaxy,1,0,0,0,1,0,0,,
github.com/movingpandas/movingpandas,1,0,0,0,1,1,1,movingpandas,
github.com/dodge-research-group/thztools,1,1,0,0,1,1,1,thztools,
github.com/biocypher/biocypher,1,1,0,0,1,1,1,biocypher,
github.com/jacksonburns/astartes,1,1,0,0,1,1,1,astartes,
github.com/swiftsim/swiftgalaxy,1,1,1,0,0,1,1,swiftgalaxy,
github.com/miles-iac/milespy,1,0,0,0,0,0,0,,
github.com/katybrown/plot_phylo,1,1,0,0,0,1,1,plot-phylo,
github.com/stingraysoftware/stingray,1,0,0,0,0,0,1,stingray,
github.com/robaina/pynteny,1,1,0,0,1,1,1,pynteny,
github.com/astropy/astropy,1,1,0,0,0,1,1,astropy,
