rank,stratum,name,repo_url,repo_canonical,accepted_date,accepted_year,domain_bin,dual_listed
1,pyopensci,martini,https://github.com/kyleaoman/martini,github.com/kyleaoman/martini,2024-06-03,2024,astronomy,1
2,pyopensci,ChemInformant,https://github.com/HzaCode/ChemInformant,github.com/hzacode/cheminformant,2025-09-29,2025,chem-materials,1
3,pyopensci,earthpy,https://github.com/earthlab/earthpy,github.com/earthlab/earthpy,2019-11-06,2019,earth-climate,1
4,pyopensci,MontePy,https://github.com/idaholab/MontePy,github.com/idaholab/montepy,2025-03-19,2025,general-tools,1
5,pyopensci,neonutilities,https://github.com/NEONScience/NEON-utilities-python,github.com/neonscience/neon-utilities-python,2025-05- 1,2025,life-sciences,0
6,pyopensci,nsEVDx,https://github.com/Nischalcs50/nsEVDx,github.com/nischalcs50/nsevdx,2026-7-3,2026,math-stats-ml,0
7,pyopensci,sunpy,https://github.com/sunpy/sunpy,github.com/sunpy/sunpy,2024-01-18,2024,physics,1
8,pyopensci,Plenoptic,https://github.com/plenoptic-org/plenoptic,github.com/plenoptic-org/plenoptic,2026-03-11,2026,unmapped,0
9,pyopensci,PetroFit,https://github.com/PetroFit/petrofit,github.com/petrofit/petrofit,2025-02-28,2025,astronomy,0
10,pyopensci,pyrolite,https://github.com/morganjwilliams/pyrolite,github.com/morganjwilliams/pyrolite,2020-06-04,2020,chem-materials,1
11,pyopensci,PyGMT,https://github.com/GenericMappingTools/pygmt,github.com/genericmappingtools/pygmt,2022-9-1,2022,earth-climate,0
12,pyopensci,EOmaps,https://github.com/raphaelquast/EOmaps,github.com/raphaelquast/eomaps,2024-03-14,2024,general-tools,0
13,pyopensci,Physcraper,https://github.com/McTavishLab/physcraper,github.com/mctavishlab/physcraper,2021-09-14,2021,life-sciences,0
14,pyopensci,pandera,https://github.com/unionai-oss/pandera,github.com/unionai-oss/pandera,2019-10-10,2019,math-stats-ml,0
15,pyopensci,astrodata,https://github.com/GeminiDRSoftware/astrodata,github.com/geminidrsoftware/astrodata,2025-02-04,2025,astronomy,0
16,pyopensci,xclim,https://github.com/Ouranosinc/xclim,github.com/ouranosinc/xclim,2023-04-11,2023,earth-climate,1
17,pyopensci,FElupe,https://github.com/adtzlr/felupe,github.com/adtzlr/felupe,2025-9-18,2025,general-tools,1
18,pyopensci,sourmash,https://github.com/sourmash-bio/sourmash,github.com/sourmash-bio/sourmash,2024-4-4,2024,life-sciences,1
19,pyopensci,bibat,https://github.com/teddygroves/bibat/,github.com/teddygroves/bibat,2023-07-05,2023,math-stats-ml,0
20,pyopensci,PyAutoGalaxy,https://github.com/Jammy2211/PyAutoGalaxy,github.com/jammy2211/pyautogalaxy,2026-05-04,2026,astronomy,1
21,pyopensci,MovingPandas,https://github.com/movingpandas/movingpandas,github.com/movingpandas/movingpandas,2020-03-19,2020,earth-climate,0
22,pyopensci,THzTools,https://github.com/dodge-research-group/thztools,github.com/dodge-research-group/thztools,2024-11-22,2024,general-tools,1
23,pyopensci,biocypher,https://github.com/biocypher/biocypher,github.com/biocypher/biocypher,2023-11-14,2023,life-sciences,0
24,pyopensci,astartes,https://github.com/JacksonBurns/astartes,github.com/jacksonburns/astartes,2023-10-15,2023,math-stats-ml,1
25,pyopensci,swiftgalaxy,https://github.com/SWIFTSIM/swiftgalaxy,github.com/swiftsim/swiftgalaxy,2025-10-17,2025,astronomy,1
26,pyopensci,MILESpy,https://github.com/miles-iac/milespy,github.com/miles-iac/milespy,2026-07-21,2026,general-tools,0
27,pyopensci,plot_phylo,https://github.com/KatyBrown/plot_phylo,github.com/katybrown/plot_phylo,2025-01-21,2025,life-sciences,0
28,pyopensci,Stingray,https://github.com/stingraysoftware/stingray,github.com/stingraysoftware/stingray,2024-10-01,2024,astronomy,1
29,pyopensci,Pynteny,https://github.com/Robaina/Pynteny,github.com/robaina/pynteny,2023-03-10,2023,general-tools,1
30,pyopensci,astropy,https://github.com/astropy/astropy,github.com/astropy/astropy,2025-12-17,2025,astronomy,0
